ticket_id,opened_at,domain,asset,component,error_code,severity,status,team,title,description,resolution,resolved_hours
INC-2026-04307,2026-06-03T17:30,Retail,DC Vestby,Point of sale,ERR-6205,Medium,Closed,E-commerce,Lane out of service at peak,"Goes down on its own without anyone touching it, then comes back a minute later.",Failing memory module. Swapped the board and soak tested through a full trading day.,2.5
INC-2026-04065,2026-08-23T17:45,Maritime,MV Bergen Star,Fuel system,ERR-5140,High,Closed,Hull & Deck,Fuel pressure fluctuating on auxiliary engine,Engine drops revs briefly every few minutes then recovers on its own.,Fuel filter partially blocked. Replaced the element and bled the system.,9.6
INC-2026-04487,2026-06-16T19:45,Energy,Substation Rong,SCADA link,ERR-3310,Medium,Resolved,Substation Field,SCADA polling timeouts overnight,"Values freeze at their last figure, then jump to current once contact returns.",Failing media converter at the site end. Swapped the unit and the gaps stopped.,2.2
INC-2026-04458,2026-04-23T23:00,Maritime,MV Bergen Star,Navigation display,ERR-2203,Medium,Closed,Rotating Equipment,Console blanking intermittently,"Display goes dark without warning and comes back after a minute, nothing in the alarm log.",Firmware defect in the chart renderer. Applied vendor patch 4.2.1.,4.0
INC-2026-04813,2026-01-23T22:15,Payments,Gateway West,Card authorisation,ERR-4001,Medium,Resolved,Fraud Engineering,Authorisation success rate dropped,"Customers say payment spins and then fails, and a retry usually works on the second attempt.","Expired certificate on the acquirer link. Renewed and redeployed, success rate normalised.",4.1
INC-2026-04177,2026-09-01T00:15,Maritime,MV Havbris,Navigation display,ERR-2203,Medium,Resolved,Hull & Deck,Console blanking intermittently,"Watchkeeper cannot interact with it for short spells, then it wakes up again.","Loose display cable at the bulkhead connector. Reseated and secured, no further dropouts.",2.0
INC-2026-04648,2026-08-10T22:00,Maritime,MV Bergen Star,Navigation display,ERR-2203,Low,Resolved,Bridge Systems,Console blanking intermittently,Console stops responding to touch and only recovers after a power cycle.,Failing power supply in the console. Replaced the unit and monitored for a full watch.,5.3
INC-2026-04803,2026-02-04T16:15,Energy,Substation Rong,SCADA link,ERR-3310,Low,Closed,Substation Field,Outstation dropping off the system,"Nothing reported in from that location for a stretch, with no alarm to say why.",Polling interval too aggressive after a config change. Reverted to the previous setting.,8.7
INC-2026-04744,2026-03-07T05:00,Energy,Substation Fana,Transformer cooling,ERR-7744,High,Resolved,Grid Operations,Overtemperature warning during evening peak,Temperature creeping up over several days with no change in demand to explain it.,Blocked airflow from vegetation growth against the enclosure. Cleared and trimmed back.,4.4
INC-2026-04952,2026-04-16T19:30,Energy,Substation Ålgård,Transformer cooling,ERR-7744,High,Resolved,Grid Operations,Overtemperature warning during evening peak,Readings climb steadily through the afternoon peak and no longer settle overnight the way they used to.,Blocked airflow from vegetation growth against the enclosure. Cleared and trimmed back.,25.7
INC-2026-04568,2026-03-20T01:45,Retail,Store 031 Bergen,Receipt printer,ERR-6250,Low,Resolved,Store Systems,Printing stops partway through a sale,No paper comes through even though everything else about the sale worked.,Paper sensor dirty and reporting empty. Cleaned and recalibrated.,1.2
INC-2026-04752,2026-03-05T18:45,Maritime,MV Havbris,Fuel system,ERR-5140,Medium,Closed,Bridge Systems,Uneven running on auxiliary engine,Reading is restless. It never sits still long enough to take a proper number off it.,Lift pump diaphragm perished. Renewed the pump and confirmed steady supply pressure.,3.0
INC-2026-04433,2026-04-03T07:45,Energy,Substation Rong,Transformer cooling,ERR-7744,High,Resolved,SCADA,Unit running warmer than its neighbours,Readings climb steadily through the afternoon peak and no longer settle overnight the way they used to.,"Two cooling fans had failed. Replaced both, temperature returned to its normal profile within the hour.",16.0
INC-2026-04243,2026-06-11T06:15,Maritime,MV Kvitøy,Navigation display,ERR-2203,Medium,Resolved,Rotating Equipment,Chart display freezing on bridge console,"Unit drops out briefly two or three times a watch, always without an alarm.",Failing power supply in the console. Replaced the unit and monitored for a full watch.,4.2
INC-2026-04104,2026-07-14T08:15,Energy,Substation Kollsnes,SCADA link,ERR-3310,Medium,Resolved,Grid Operations,SCADA polling timeouts overnight,"Control room had no readings from the site for about twenty minutes, then everything reappeared at once.",Polling interval too aggressive after a config change. Reverted to the previous setting.,2.2
INC-2026-04660,2026-04-08T00:00,Payments,Gateway North,Card authorisation,ERR-4001,Critical,Closed,Payments Platform,Authorisation success rate dropped,"A fifth of attempts are bouncing back, where it is normally a rounding error.","Expired certificate on the acquirer link. Renewed and redeployed, success rate normalised.",4.2
INC-2026-04844,2026-02-02T23:30,Maritime,MV Bergen Star,Navigation display,ERR-2203,Medium,Closed,Bridge Systems,Bridge display unresponsive during watch,"Display goes dark without warning and comes back after a minute, nothing in the alarm log.","Loose display cable at the bulkhead connector. Reseated and secured, no further dropouts.",6.9
INC-2026-04777,2026-06-10T08:15,Retail,DC Vestby,Inventory sync,ERR-6410,High,Resolved,E-commerce,Counts disagree between systems,Customers are ordering items that ran out before the order was even placed.,Clock skew between systems caused updates to be discarded as out of order. Corrected NTP.,16.8
INC-2026-04567,2026-08-26T03:00,Energy,Substation Rong,SCADA link,ERR-3310,Medium,Resolved,Grid Operations,Outstation dropping off the system,Data stopped arriving during the night shift and backfilled automatically once the link recovered.,Polling interval too aggressive after a config change. Reverted to the previous setting.,9.8
INC-2026-04087,2026-02-01T10:15,Payments,Gateway North,Settlement batch,ERR-4310,High,In Progress,Fraud Engineering,Settlement file rejected by clearing,Job died in the middle and had to be picked up again from where it gave out.,,
INC-2026-04403,2026-04-14T19:00,Retail,DC Vestby,Point of sale,ERR-6205,High,Closed,E-commerce,Lane out of service at peak,Screen stops accepting input at the worst moment and the sale has to be started again.,Thermal shutdown from blocked vents behind the counter. Relocated and cleaned.,8.6
INC-2026-04948,2026-03-27T22:45,Energy,Substation Ålgård,Protection relay,ERR-7120,Critical,Closed,Grid Operations,Relay operated with no fault found,Trip with no accompanying disturbance recorded anywhere on the network.,Relay setting group left on the commissioning profile. Restored operational settings.,17.5
INC-2026-04499,2026-05-27T00:30,Retail,Store 031 Bergen,Inventory sync,ERR-6410,High,Resolved,E-commerce,Counts disagree between systems,Customers are ordering items that ran out before the order was even placed.,Message queue backed up behind a poison message. Removed it and replayed the remainder.,15.5
INC-2026-04182,2026-06-23T11:15,Energy,Substation Kollsnes,Transformer cooling,ERR-7744,High,Resolved,SCADA,Overtemperature warning during evening peak,"Gradual rise on the trend, small each day, obvious across a month.",Radiator fins heavily fouled. Cleaned and flushed to restore rated cooling capacity.,15.3
INC-2026-04996,2026-08-01T21:00,Energy,Substation Rong,SCADA link,ERR-3310,Low,Resolved,SCADA,Outstation dropping off the system,"Values freeze at their last figure, then jump to current once contact returns.",Radio link degraded by weather. Repointed the antenna and improved the margin.,2.1
INC-2026-04464,2026-02-17T14:00,Payments,Gateway Core,Card authorisation,ERR-4001,Medium,Resolved,Fraud Engineering,Elevated decline rate on card payments,Success rate dropped from its usual level to around eighty percent over about ten minutes.,"Expired certificate on the acquirer link. Renewed and redeployed, success rate normalised.",3.0
INC-2026-04950,2026-01-19T15:30,Payments,Scoring Cluster A,Card authorisation,ERR-4001,High,Resolved,Core Banking,Elevated decline rate on card payments,Support is fielding complaints that the payment page hangs and then gives up.,Upstream acquirer degraded. Failed over to the secondary route and rates recovered immediately.,3.6
INC-2026-04795,2026-02-11T11:15,Energy,Substation Kollsnes,Transformer cooling,ERR-7744,Medium,Resolved,Substation Field,Overtemperature warning during evening peak,"Sits several degrees above where it has historically run, with load unchanged.",Radiator fins heavily fouled. Cleaned and flushed to restore rated cooling capacity.,5.1
INC-2026-04560,2026-07-15T23:45,Payments,Gateway Core,Card authorisation,ERR-4001,High,Resolved,Core Banking,Authorisation success rate dropped,People are being refused at the final step even though their cards are perfectly good.,Upstream acquirer degraded. Failed over to the secondary route and rates recovered immediately.,3.4
INC-2026-04768,2026-03-29T09:30,Retail,Store 022 Trondheim,Point of sale,ERR-6205,High,Resolved,Store Systems,Lane out of service at peak,Staff lose the lane completely and have to move the queue to the next one.,Thermal shutdown from blocked vents behind the counter. Relocated and cleaned.,2.3
INC-2026-04780,2026-05-10T14:15,Retail,DC Vestby,Inventory sync,ERR-6410,Low,Resolved,E-commerce,Online availability showing items that are sold out,"The website is offering products the shelf does not actually have, and customers arrive to collect nothing.","Sync job failing silently on malformed records. Added validation and alerting, then reprocessed the backlog.",19.5
INC-2026-04148,2026-05-25T05:45,Payments,Gateway Core,Card authorisation,ERR-4001,Critical,Resolved,Fraud Engineering,Elevated decline rate on card payments,People are being refused at the final step even though their cards are perfectly good.,"Expired certificate on the acquirer link. Renewed and redeployed, success rate normalised.",0.5
INC-2026-04244,2026-02-18T20:15,Retail,Store 022 Trondheim,Inventory sync,ERR-6410,Medium,Resolved,E-commerce,Online availability showing items that are sold out,"Figures are a day behind, so every decision this morning was made on yesterday's picture.",Message queue backed up behind a poison message. Removed it and replayed the remainder.,11.1
INC-2026-04138,2026-02-12T20:00,Retail,Store 022 Trondheim,Inventory sync,ERR-6410,Medium,Resolved,Store Systems,Counts disagree between systems,"Figures are a day behind, so every decision this morning was made on yesterday's picture.",Clock skew between systems caused updates to be discarded as out of order. Corrected NTP.,14.5
INC-2026-04273,2026-07-24T13:15,Energy,Substation Fana,SCADA link,ERR-3310,Medium,Closed,Substation Field,Outstation dropping off the system,"Nothing reported in from that location for a stretch, with no alarm to say why.",Radio link degraded by weather. Repointed the antenna and improved the margin.,5.1
INC-2026-04799,2026-07-24T16:15,Payments,Gateway North,Card authorisation,ERR-4001,Critical,Resolved,Payments Platform,Customers reporting failed checkout,People are being refused at the final step even though their cards are perfectly good.,Connection pool exhausted after a traffic spike. Raised the pool size and added backpressure.,2.0
INC-2026-04978,2026-04-17T00:15,Energy,Substation Fana,Protection relay,ERR-7120,Critical,Resolved,Grid Operations,Unexpected breaker trip on feeder,"Supply dropped with no weather, no work in progress and nothing on the overhead.","Moisture ingress in the relay panel causing spurious operation. Dried, sealed and retested.",10.9
INC-2026-04692,2026-03-14T00:45,Retail,Store 014 Oslo,Point of sale,ERR-6205,High,In Progress,E-commerce,Lane out of service at peak,"Cuts out repeatedly once the shop fills up, never when it is quiet.",,
INC-2026-04249,2026-08-04T12:15,Retail,Store 014 Oslo,Inventory sync,ERR-6410,Medium,Resolved,Store Systems,Counts disagree between systems,Numbers on screen and numbers on the rack are two different stories.,Message queue backed up behind a poison message. Removed it and replayed the remainder.,17.0
INC-2026-04012,2026-05-25T04:30,Maritime,MV Bergen Star,Navigation display,ERR-2203,Medium,Closed,Rotating Equipment,Console blanking intermittently,"Screen locks up for around thirty seconds then returns on its own, several times per watch.",Firmware defect in the chart renderer. Applied vendor patch 4.2.1.,2.8
INC-2026-04475,2026-09-03T12:00,Energy,Substation Kollsnes,SCADA link,ERR-3310,Medium,Closed,Substation Field,Telemetry gap from remote site,We lose sight of it for minutes at a time and then it is back as though nothing happened.,Polling interval too aggressive after a config change. Reverted to the previous setting.,9.5
INC-2026-04219,2026-05-21T01:30,Retail,Store 022 Trondheim,Inventory sync,ERR-6410,Medium,Resolved,Logistics,Stock levels out of step with warehouse,"The website is offering products the shelf does not actually have, and customers arrive to collect nothing.",Clock skew between systems caused updates to be discarded as out of order. Corrected NTP.,11.8
INC-2026-04431,2026-01-28T18:00,Energy,Substation Kollsnes,Transformer cooling,ERR-7744,High,In Progress,SCADA,Overtemperature warning during evening peak,"It is noticeably warmer to stand next to than the one beside it, carrying the same current.",,
INC-2026-04052,2026-06-06T20:45,Retail,DC Larvik,Inventory sync,ERR-6410,Medium,Resolved,Store Systems,Online availability showing items that are sold out,"The nightly transfer arrived hours late, so morning picking worked from stale numbers.",Message queue backed up behind a poison message. Removed it and replayed the remainder.,3.4
INC-2026-04910,2026-06-23T21:30,Energy,Substation Rong,Protection relay,ERR-7120,Critical,Resolved,Grid Operations,Relay operated with no fault found,"Protection operated during a routine switching sequence, with no damage identified downstream.",Relay setting group left on the commissioning profile. Restored operational settings.,14.1
INC-2026-04749,2026-08-06T13:45,Energy,Substation Kollsnes,SCADA link,ERR-3310,High,Resolved,Substation Field,Telemetry gap from remote site,We lose sight of it for minutes at a time and then it is back as though nothing happened.,Polling interval too aggressive after a config change. Reverted to the previous setting.,7.6
INC-2026-04327,2026-01-10T06:30,Energy,Substation Ålgård,Transformer cooling,ERR-7744,High,In Progress,Substation Field,Unit running warmer than its neighbours,Thermal margin has been shrinking week on week and nobody can point at a cause.,,
INC-2026-04147,2026-05-02T00:00,Maritime,MV Bergen Star,Navigation display,ERR-2203,Medium,Resolved,Hull & Deck,Console blanking intermittently,"Screen locks up for around thirty seconds then returns on its own, several times per watch.",Firmware defect in the chart renderer. Applied vendor patch 4.2.1.,1.8
INC-2026-04002,2026-02-18T15:30,Maritime,MV Nordlys,Navigation display,ERR-2203,Medium,In Progress,Bridge Systems,Chart display freezing on bridge console,"Display goes dark without warning and comes back after a minute, nothing in the alarm log.",,
INC-2026-04525,2026-08-30T00:30,Maritime,MV Storfjord,Fuel system,ERR-5140,Low,Resolved,Rotating Equipment,Uneven running on auxiliary engine,"Brief hesitation every so often, as though it is starving for a moment and then catching again.",Lift pump diaphragm perished. Renewed the pump and confirmed steady supply pressure.,4.0
INC-2026-04622,2026-08-06T00:15,Payments,Gateway West,Fraud scoring,ERR-4102,High,Resolved,Payments Platform,Review queue backing up,The model is taking its time. What used to be instant now has a noticeable wait.,Stale model artefact loaded on two nodes. Redeployed the correct version across the cluster.,14.1
INC-2026-04441,2026-04-08T22:45,Energy,Substation Kollsnes,SCADA link,ERR-3310,Medium,Resolved,Grid Operations,SCADA polling timeouts overnight,The site went quiet. Nothing came in until it suddenly caught up in one burst.,Radio link degraded by weather. Repointed the antenna and improved the margin.,8.5
INC-2026-04169,2026-05-19T05:45,Maritime,MV Bergen Star,Navigation display,ERR-2203,High,Resolved,Bridge Systems,Console blanking intermittently,"Screen locks up for around thirty seconds then returns on its own, several times per watch.",Firmware defect in the chart renderer. Applied vendor patch 4.2.1.,4.0
INC-2026-04624,2026-04-19T03:45,Energy,Substation Kollsnes,Transformer cooling,ERR-7744,High,Closed,Grid Operations,Transformer temperature trending high,"It is noticeably warmer to stand next to than the one beside it, carrying the same current.",Radiator fins heavily fouled. Cleaned and flushed to restore rated cooling capacity.,14.1
INC-2026-04217,2026-03-12T01:45,Retail,Store 031 Bergen,Point of sale,ERR-6205,Medium,Resolved,E-commerce,Checkout terminal restarting unexpectedly,Terminal locks solid mid transaction when the queue is long and staff have to restart it.,Faulty power supply under load. Replaced the unit with no repeat over the following week.,3.0
INC-2026-04989,2026-05-20T00:45,Energy,Substation Ålgård,SCADA link,ERR-3310,High,Closed,Substation Field,SCADA polling timeouts overnight,Trend shows holes in the record overnight that filled themselves in by morning.,Radio link degraded by weather. Repointed the antenna and improved the margin.,10.4
INC-2026-04649,2026-07-27T06:45,Energy,Substation Rong,SCADA link,ERR-3310,Medium,Resolved,Grid Operations,SCADA polling timeouts overnight,"Intermittent loss of contact with the outstation, several short gaps through the evening.",Radio link degraded by weather. Repointed the antenna and improved the margin.,2.3
INC-2026-04333,2026-01-13T10:30,Energy,Substation Rong,SCADA link,ERR-3310,Low,Resolved,Grid Operations,Telemetry gap from remote site,Data stopped arriving during the night shift and backfilled automatically once the link recovered.,Radio link degraded by weather. Repointed the antenna and improved the margin.,4.1
INC-2026-04291,2026-05-31T14:30,Energy,Substation Rong,Transformer cooling,ERR-7744,High,Resolved,Grid Operations,Overtemperature warning during evening peak,Control room sees the figure drifting upward and not recovering during the quiet hours.,Radiator fins heavily fouled. Cleaned and flushed to restore rated cooling capacity.,13.4
INC-2026-04367,2026-06-28T20:45,Retail,Store 014 Oslo,Point of sale,ERR-6205,Low,Closed,E-commerce,Till freezing during busy period,Freezes solid with a customer standing there and the basket half scanned.,Failing memory module. Swapped the board and soak tested through a full trading day.,6.4
INC-2026-04338,2026-07-06T07:00,Energy,Substation Fana,Protection relay,ERR-7120,High,Resolved,Grid Operations,Unexpected breaker trip on feeder,"Protection operated during a routine switching sequence, with no damage identified downstream.",Current transformer wiring reversed on one phase after maintenance. Corrected and tested.,6.5
INC-2026-04235,2026-02-19T00:00,Payments,Scoring Cluster A,Card authorisation,ERR-4001,High,Resolved,Core Banking,Authorisation success rate dropped,"More transactions than normal are being turned away, with no pattern by card type or issuer.",Upstream acquirer degraded. Failed over to the secondary route and rates recovered immediately.,1.8
INC-2026-04862,2026-04-08T04:45,Payments,Gateway West,Card authorisation,ERR-4001,High,Resolved,Core Banking,Authorisation success rate dropped,Approval numbers fell off a cliff and have not come back on their own.,Connection pool exhausted after a traffic spike. Raised the pool size and added backpressure.,1.1
INC-2026-04558,2026-01-26T22:45,Energy,Substation Ålgård,SCADA link,ERR-3310,High,Resolved,Grid Operations,Telemetry gap from remote site,"Values freeze at their last figure, then jump to current once contact returns.",Polling interval too aggressive after a config change. Reverted to the previous setting.,6.4
INC-2026-04385,2026-02-17T20:00,Retail,DC Vestby,Receipt printer,ERR-6250,Low,Resolved,E-commerce,Receipt printer not responding,"Paper feeds a few lines then gives up, leaving the customer with half a slip.",Printer driver incompatible with the latest POS release. Rolled back the driver.,4.1
INC-2026-04750,2026-02-10T09:30,Retail,Store 031 Bergen,Point of sale,ERR-6205,Medium,In Progress,Store Systems,Lane out of service at peak,"It gives up under pressure. Quiet mornings are fine, Saturday afternoon is not.",,
INC-2026-04508,2026-02-27T07:45,Retail,Store 014 Oslo,Inventory sync,ERR-6410,Medium,In Progress,Logistics,Counts disagree between systems,"The website is offering products the shelf does not actually have, and customers arrive to collect nothing.",,
INC-2026-04395,2026-03-18T08:45,Retail,DC Vestby,Receipt printer,ERR-6250,Low,Resolved,Store Systems,No receipt at end of transaction,"Paper feeds a few lines then gives up, leaving the customer with half a slip.",Worn feed roller slipping under load. Replaced the roller assembly.,4.3
INC-2026-04619,2026-08-24T16:30,Energy,Substation Rong,Protection relay,ERR-7120,High,Closed,Substation Field,Feeder lost supply without cause,"Protection operated during a routine switching sequence, with no damage identified downstream.","Moisture ingress in the relay panel causing spurious operation. Dried, sealed and retested.",4.4
INC-2026-04413,2026-02-20T15:15,Energy,Substation Rong,SCADA link,ERR-3310,High,Closed,Grid Operations,Outstation dropping off the system,"Intermittent loss of contact with the outstation, several short gaps through the evening.",Polling interval too aggressive after a config change. Reverted to the previous setting.,9.7
INC-2026-04641,2026-05-17T21:15,Maritime,MV Storfjord,Navigation display,ERR-2203,High,Resolved,Hull & Deck,Bridge display unresponsive during watch,"Display goes dark without warning and comes back after a minute, nothing in the alarm log.",Firmware defect in the chart renderer. Applied vendor patch 4.2.1.,3.1
INC-2026-04547,2026-04-09T10:30,Retail,DC Vestby,Inventory sync,ERR-6410,Low,Resolved,E-commerce,Counts disagree between systems,Customers are ordering items that ran out before the order was even placed.,Message queue backed up behind a poison message. Removed it and replayed the remainder.,12.9
INC-2026-04196,2026-07-26T07:30,Energy,Substation Ålgård,SCADA link,ERR-3310,Medium,Resolved,Grid Operations,Outstation dropping off the system,"Control room had no readings from the site for about twenty minutes, then everything reappeared at once.",Failing media converter at the site end. Swapped the unit and the gaps stopped.,1.1
INC-2026-04700,2026-06-14T09:45,Payments,Gateway Core,Settlement batch,ERR-4310,Medium,Resolved,Core Banking,Daily reconciliation out by a file,Batch stalled partway through and had to be restarted from the last checkpoint.,"Disk exhausted on the batch host mid write. Cleared space, added an alert and reran cleanly.",15.4
INC-2026-04262,2026-07-27T14:30,Maritime,MV Nordlys,Fuel system,ERR-5140,Medium,Resolved,Hull & Deck,Auxiliary engine losing power intermittently,Engine drops revs briefly every few minutes then recovers on its own.,Air ingress at a loose union on the suction side. Tightened and pressure tested.,5.6
INC-2026-04666,2026-08-08T19:45,Energy,Substation Rong,Protection relay,ERR-7120,High,Closed,SCADA,Unexpected breaker trip on feeder,Breaker opened on its own. Walked the route and found nothing wrong.,Current transformer wiring reversed on one phase after maintenance. Corrected and tested.,4.8
INC-2026-04344,2026-06-20T20:00,Energy,Substation Ålgård,SCADA link,ERR-3310,Medium,Closed,SCADA,Telemetry gap from remote site,"Intermittent loss of contact with the outstation, several short gaps through the evening.",Radio link degraded by weather. Repointed the antenna and improved the margin.,2.7
INC-2026-04156,2026-03-03T19:15,Energy,Substation Ålgård,Transformer cooling,ERR-7744,High,Resolved,SCADA,Overtemperature warning during evening peak,Temperature creeping up over several days with no change in demand to explain it.,"Two cooling fans had failed. Replaced both, temperature returned to its normal profile within the hour.",18.1
INC-2026-04951,2026-07-25T09:00,Energy,Substation Rong,Transformer cooling,ERR-7744,High,Resolved,SCADA,Overtemperature warning during evening peak,Thermal margin has been shrinking week on week and nobody can point at a cause.,Radiator fins heavily fouled. Cleaned and flushed to restore rated cooling capacity.,24.2
INC-2026-04923,2026-04-06T07:30,Maritime,MV Havbris,Bearing assembly,ERR-5012,High,Resolved,Hull & Deck,Main pump noisy at high output,"Noticeable judder from the housing above three quarters output, easing off as soon as demand drops.","Soft foot on the mounting. Shimmed and re-torqued base bolts, retested at full load with no recurrence.",11.1
INC-2026-04503,2026-02-06T19:30,Payments,Scoring Cluster A,Settlement batch,ERR-4310,High,In Progress,Core Banking,Daily reconciliation out by a file,Job died in the middle and had to be picked up again from where it gave out.,,
INC-2026-04023,2026-03-19T17:15,Maritime,MV Nordlys,Navigation display,ERR-2203,Medium,Resolved,Hull & Deck,Bridge display unresponsive during watch,"Display goes dark without warning and comes back after a minute, nothing in the alarm log.",Failing power supply in the console. Replaced the unit and monitored for a full watch.,2.0
INC-2026-04018,2026-03-13T21:00,Energy,Substation Rong,Transformer cooling,ERR-7744,Critical,Closed,Substation Field,Overtemperature warning during evening peak,Thermal margin has been shrinking week on week and nobody can point at a cause.,Radiator fins heavily fouled. Cleaned and flushed to restore rated cooling capacity.,10.3
INC-2026-04227,2026-05-31T11:45,Maritime,MV Bergen Star,Fuel system,ERR-5140,High,Resolved,Rotating Equipment,Uneven running on auxiliary engine,"Output is uneven under steady demand, with no alarm raised.",Air ingress at a loose union on the suction side. Tightened and pressure tested.,3.0
INC-2026-04036,2026-04-06T12:15,Energy,Substation Rong,SCADA link,ERR-3310,Low,Resolved,SCADA,Outstation dropping off the system,"Intermittent loss of contact with the outstation, several short gaps through the evening.",Polling interval too aggressive after a config change. Reverted to the previous setting.,6.0
INC-2026-04703,2026-07-20T10:15,Maritime,MV Kvitøy,Navigation display,ERR-2203,High,Resolved,Rotating Equipment,Chart display freezing on bridge console,Picture freezes mid update. Everything else on the bridge carries on as normal.,"Loose display cable at the bulkhead connector. Reseated and secured, no further dropouts.",4.9
INC-2026-04875,2026-07-20T17:30,Retail,Store 022 Trondheim,Receipt printer,ERR-6250,Low,Resolved,Store Systems,Printing stops partway through a sale,"Nothing comes out at all, though the terminal reports the sale completed.",Printer driver incompatible with the latest POS release. Rolled back the driver.,2.0
INC-2026-04407,2026-02-26T12:15,Payments,Gateway North,Card authorisation,ERR-4001,High,Resolved,Core Banking,Elevated decline rate on card payments,"Customers say payment spins and then fails, and a retry usually works on the second attempt.",Upstream acquirer degraded. Failed over to the secondary route and rates recovered immediately.,4.3
INC-2026-04679,2026-02-28T02:45,Retail,DC Larvik,Point of sale,ERR-6205,High,In Progress,Logistics,Lane out of service at peak,Terminal locks solid mid transaction when the queue is long and staff have to restart it.,,
INC-2026-04520,2026-08-13T20:45,Retail,DC Vestby,Receipt printer,ERR-6250,Low,Closed,Logistics,No receipt at end of transaction,It produces the top of the receipt and then simply stops.,Printer driver incompatible with the latest POS release. Rolled back the driver.,1.8
INC-2026-04254,2026-04-29T06:45,Retail,DC Larvik,Inventory sync,ERR-6410,Medium,Resolved,Store Systems,Stock levels out of step with warehouse,"The website is offering products the shelf does not actually have, and customers arrive to collect nothing.",Clock skew between systems caused updates to be discarded as out of order. Corrected NTP.,8.2
INC-2026-04994,2026-02-12T05:45,Retail,DC Larvik,Inventory sync,ERR-6410,High,Resolved,E-commerce,Online availability showing items that are sold out,"We are selling things we do not hold, and the first anyone knows is at the collection point.","Sync job failing silently on malformed records. Added validation and alerting, then reprocessed the backlog.",18.3
INC-2026-04717,2026-03-06T16:15,Retail,Store 031 Bergen,Inventory sync,ERR-6410,High,Resolved,E-commerce,Counts disagree between systems,"Figures are a day behind, so every decision this morning was made on yesterday's picture.","Sync job failing silently on malformed records. Added validation and alerting, then reprocessed the backlog.",14.4
INC-2026-04315,2026-04-08T00:15,Maritime,MV Nordlys,Navigation display,ERR-2203,High,Resolved,Hull & Deck,Console blanking intermittently,"Screen locks up for around thirty seconds then returns on its own, several times per watch.",Firmware defect in the chart renderer. Applied vendor patch 4.2.1.,2.2
INC-2026-04039,2026-06-04T01:30,Energy,Substation Fana,SCADA link,ERR-3310,Medium,Resolved,Grid Operations,Outstation dropping off the system,We lose sight of it for minutes at a time and then it is back as though nothing happened.,Radio link degraded by weather. Repointed the antenna and improved the margin.,6.1
INC-2026-04771,2026-09-13T11:00,Energy,Substation Kollsnes,Transformer cooling,ERR-7744,Critical,In Progress,Substation Field,Overtemperature warning during evening peak,Temperature creeping up over several days with no change in demand to explain it.,,
